id_cliente,nome_cliente,data_nascimento,vendedor,valor_padrao,desconto,valor_faturamento,forma_pagamento,banco,custo,produto,cor_produto,ano,modelo,data_entrega,zero_km_ou_seminovo
CLI000468,Leonardo Costa,21/11/1982,Diego Nogueira,116900.00,500.00,116400.00,Financiamento,Santander,97623.33,Polo,Preto,2024,Polo Comfortline,18/06/2024,0 KM
CLI000439,Thiago Moreira Santos,19/12/1968,Fernanda Ribeiro,118600.00,4200.00,114400.00,Financiamento,Montadora,100620.63,Nivus,Cinza,2024,Nivus Comfortline,26/06/2024,Semi Novo
CLI000491,Eduarda Lopes,10/09/1954,camila andrade,147100.00,5650.00,140550.00,Financiamento,Santander,129470.93,Saveiro,Preto,2024,Saveiro Highline,23/06/2024,0 KM
CLI000475,Helena Rodrigues Freitas,03/11/1969,Rafael Martins,80600.00,3350.00,77250.00,Financiamento,Montadora,66461.39,Polo,Preto,2024,Polo Sense,23/06/2024,Semi Novo
CLI000474,Eduarda Ferreira Santos,12/11/1987,Diego Nogueira,89000.00,4800.00,84200.00,Financiamento,Montadora,78160.84,Polo,Vermelho,2024,Polo Sense,24/06/2024,0 KM
CLI000469,Gabriela Teixeira,19/06/1980,Camila Andrade,88400.00,1650.00,86750.00,À Vista,,72513.90,Polo,Branco,2024,Polo Sense,28/06/2024,0 KM
CLI000437,Rafaela Andrade,08/07/1976,Bruno Almeida,98000.00,1550.00,96450.00,À Vista,,82120.33,Polo,Branco,2024,Polo Comfortline,27/06/2024,0 KM
CLI000445,Marcos Rodrigues Santana,05/12/1966,Diego Nogueira,137700.00,1650.00,136050.00,À Vista,Santander,116460.06,T-Cross,Prata,2024,T-Cross Sense,29/06/2024,0 KM
CLI000433,Vitória Gonçalves,22/08/1993,Bruno Almeida,106700.00,1700.00,105000.00,Financiamento,Montadora,89906.78,Nivus,Branco,2024,Nivus Sense,27/06/2024,0 KM
CLI000490,Leonardo Lopes,15/08/1981,Diego Nogueira,143.000,00,3650.00,140900.00,Financiamento,Montadora,127778.09,T-Cross,Branco,2024,T-Cross Comfortline,30/06/2024,0 KM
CLI000428,Rodrigo Silva Gomes,26/09/1969,Bruno Almeida,175300.00,10650.00,164650.00,Financiamento,Montadora,148650.73,Taos,Azul,2024,Taos Sense,29/06/2024,Semi Novo
CLI000479,Eduarda Moreira,05/12/1980,Rafael Martins,101100.00,2950.00,98150.00,Financiamento,Bradesco,89636.68,Polo,Branco,2024,Polo Comfortline,11/07/2024,0 KM
CLI000434,Pedro Carvalho,07/12/2000,Fernanda Ribeiro,87300.00,0.00,87300.00,Financiamento,Santander,73322.65,Polo,Cinza,2024,Polo Sense,08/07/2024,0 KM
CLI000506,Mateus Monteiro,19/09/1991,Diego Nogueira,89900.00,5400.00,84500.00,Financiamento,Montadora,76104.14,Polo,Branco,2024,Polo Sense,24/07/2024,0 KM
CLI000541,Caio Castro Mendes,27/11/1959,Juliana Costa,132000.00,1350.00,130650.00,Financiamento,BV,115799.28,Virtus,Prata,2024,Virtus Comfortline,24/07/2024,Semi Novo
CLI000581,André Melo Gonçalves,08/01/1975,Bruno Almeida,100400.00,1300.00,99100.00,Financiamento,Bradesco,89272.94,Polo,Branco,2024,Polo Comfortline,20/07/2024,0 KM
CLI000584,Sofia Nunes Soares,28/04/1986,Diego Nogueira,284800.00,9650.00,275150.00,Financiamento,Montadora,253397.93,Amarok,Preto,2024,Amarok Highline,28/07/2024,Semi Novo
CLI000524,MÃ¡rcos Lopes Andrade,24/05/1984,Camila Andrade,98100.00,4100.00,94000.00,Financiamento,Santander,86105.66,Polo,Cinza,2024,Polo Comfortline,29/07/2024,0 KM
CLI000635,Tatiane Oliveira,22/06/1971,Fernanda Ribeiro,116600.00,0.00,116600.00,À Vista,,96363.76,Polo,Cinza,2024,Polo Comfortline,31/07/2024,0 KM
CLI000550,Mateus Gomes,24/06/1985,Rafael Martins,166800.00,8400.00,158400.00,Financiamento,Santander,140171.76,Taos,Preto,2024,Taos Sense,26/07/2024,0 KM
CLI000523,EduÃ¡rdo Soares,,Fernanda Ribeiro,155700.00,5050.00,150650.00,Financiamento,BV,137871.13,Nivus,Vermelho,2024,Nivus Highline,27/07/2024,0 KM
CLI000522,Camila Moreira,18/09/1954,Diego Nogueira,97000.00,3250.00,93750.00,Financiamento,Santander,84297.77,Polo,Prata,2024,Polo Sense,30/07/2024,0 KM
CLI000554,Vinícius Araújo,26/04/2002,Juliana Costa,140500.00,0.00,140500.00,À Vista,,116472.56,T-Cross,Branco,2024,T-Cross Comfortline,31/07/2024,Semi Novo
CLI000543,Bruna Castro,10/07/1993,Diego Nogueira,170100.00,0.00,170100.00,Financiamento,BV,139503.69,T-Cross,Branco,2024,T-Cross Highline,31/07/2024,0 KM
CLI000575,André Duarte,17/10/1988,Fernanda Ribeiro,136000.00,10100.00,125900.00,Financiamento,Santander,119310.17,T-Cross,Preto,2024,T-Cross Sense,23/08/2024,0 KM
CLI000671,Guilherme Rezende Castro,10/03/1970,Fernanda Ribeiro,108700.00,3800.00,104900.00,Financiamento,Montadora,92095.04,Polo,Preto,2024,Polo Comfortline,10/08/2024,0 KM
CLI000673,Mariana Gomes,26/05/1966,Juliana Costa,101500.00,0.00,101500.00,Financiamento,Santander,90813.81,Polo,Vermelho,2024,Polo Comfortline,18/08/2024,0 KM
CLI001849,Rafaela Gonçalves,26/07/1978,Camila Andrade,275000.00,1750.00,273250.00,Financiamento,Bradesco,240225.86,Amarok,Prata,2024,Amarok Comfortline,24/08/2024,Semi Novo
CLI000642,Tatiane Araújo Monteiro,11/06/1987,Juliana Costa,117900.00,7650.00,110250.00,Financiamento,Montadora,98304.26,Polo,Branco,2024,Polo Highline,25/08/2024,0 KM
CLI000624,Gabriel Mendes,24/02/1988,Bruno Almeida,115300.00,4000.00,111300.00,Financiamento,Santander,97639.26,Virtus,Preto,2024,Virtus Sense,18/08/2024,0 KM
CLI000611,Leonardo Monteiro,23/07/1978,Bruno Almeida,130400.00,2000.00,128400.00,Financiamento,Santander,113577.90,Saveiro,Prata,2024,Saveiro Comfortline,21/08/2024,0 KM
CLI000629,Sabrina Cardoso,12/01/1958,Camila Andrade,139400.00,9450.00,129950.00,Financiamento,BV,119537.15,Saveiro,Vermelho,2024,Saveiro Highline,21/08/2024,0 KM
CLI000649,LÃ¡rissa Almeida,,Camila Andrade,112300.00,5500.00,106800.00,Financiamento,Montadora,96881.41,Polo,Prata,2024,Polo Comfortline,17/08/2024,0 KM
CLI000635,Henrique Ribeiro,10/02/1969,Diego Nogueira,89100.00,2100.00,87000.00,Financiamento,Montadora,73845.14,Polo,Prata,2024,Polo Sense,19/08/2024,0 KM
CLI000665,Luana Silva,03/01/1977,Juliana Costa,115900.00,2150.00,113750.00,Financiamento,Santander,100296.27,Nivus,Branco,2024,Nivus Sense,21/08/2024,0 KM
CLI000664,Murilo Carvalho,24/08/1987,Bruno Almeida,136300.00,10200.00,126100.00,Financiamento,BV,112950.05,Virtus,Cinza,2024,Virtus Highline,20/08/2024,Semi Novo
CLI000609,Lucas Nascimento,19/01/1986,Bruno Almeida,111300.00,2400.00,108900.00,Financiamento,Montadora,91460.67,Saveiro,Branco,2024,Saveiro Comfortline,28/08/2024,Semi Novo
CLI000677,Camila Lopes,05/01/1973,Rafael Martins,251400.00,3850.00,247550.00,Financiamento,Montadora,215687.41,Tiguan Allspace,Branco,2024,Tiguan Allspace Comfortline,31/08/2024,Semi Novo
CLI000613,Lucas Barros,24/11/1986,Juliana Costa,283700.00,10800.00,272900.00,À Vista,,235565.69,Amarok,Cinza,2024,Amarok Comfortline,27/08/2024,0 KM
CLI000679,Isabela Duarte,15/05/1991,Rafael Martins,105100.00,7950.00,97150.00,À Vista,,91246.64,Polo,Branco,2024,Polo Comfortline,29/08/2024,0 KM
CLI000640,Rafaela Martins Barbosa,01/11/1993,Diego Nogueira,169800.00,5550.00,164250.00,Financiamento,,151646.13,Taos,Preto,2024,Taos Sense,28/08/2024,0 KM
CLI000633,Paulo Batista,06/03/1982,Fernanda Ribeiro,112100.00,3250.00,108850.00,Financiamento,Santander,93679.10,Polo,Azul,2024,Polo Highline,30/08/2024,Semi Novo
CLI000620,Beatriz Nascimento Martins,09/09/1982,Diego Nogueira,123700.00,9050.00,114650.00,Financiamento,Bradesco,110423.52,Polo,Branco,2024,Polo Highline,26/08/2024,Semi Novo
CLI000659,Thiago Santos,04/11/1981,Diego Nogueira,285700.00,22250.00,263450.00,Financiamento,Santander,237491.74,Amarok,Azul,2024,Amarok Highline,30/08/2024,Semi Novo
CLI000674,Ricardo Melo,27/10/1978,Fernanda Ribeiro,99900.00,5300.00,94600.00,À Vista,,82214.85,Polo,Preto,2024,Polo Comfortline,27/08/2024,0 KM
CLI000643,Tatiane Oliveira,21/01/2003,Fernanda Ribeiro,115000.00,5550.00,109450.00,Financiamento,,101430.42,Virtus,Branco,2024,Virtus Sense,31/08/2024,0 KM
CLI000656,Paulo Teixeira,19/05/1990,Fernanda Ribeiro,139900.00,0.00,139900.00,Financiamento,Montadora,125526.97,Saveiro,Prata,2024,Saveiro Comfortline,30/08/2024,0 KM
CLI000622,Patrícia Castro,02/08/1985,Diego Nogueira,91800.00,5500.00,86300.00,À Vista,,77619.88,Polo,Prata,2024,Polo Sense,08/31/2024,Semi Novo
CLI000667,Diego Ribeiro,05/10/2003,Bruno Almeida,142400.00,5700.00,136700.00,Financiamento,Montadora,122101.91,Nivus,Branco,2024,Nivus Comfortline,05/09/2024,0 KM
CLI000606,João Melo,1965-07-28,Bruno Almeida,133400.00,0.00,133400.00,Financiamento,Santander,112311.56,Polo,Prata,2024,Polo Highline,25/09/2024,0 KM
CLI000625,Luana Moreira,15/02/1964,Fernanda Ribeiro,84500.00,3000.00,81500.00,À Vista,,69383.68,Polo,Cinza,2024,Polo Sense,11/09/2024,0 KM
CLI000627,Bruno Santos,15/06/1972,Bruno Almeida,95300.00,2750.00,92550.00,À Vista,,80858.44,Polo,Branco,2024,Polo Sense,09/09/2024,0 KM
CLI000746,Camila Cardoso Pereira,28/07/1989,Camila Andrade,131300.00,0.00,131300.00,Financiamento,Montadora,135027.37,Polo,Branco,2024,Polo Highline,25/09/2024,0 KM
CLI000684,Guilherme Ribeiro,13/08/1983,Fernanda Ribeiro,153700.00,2250.00,151450.00,Financiamento,Santander,132128.76,Saveiro,Branco,2024,Saveiro Highline,30/09/2024,0 KM
CLI000705,Luana Soares,12/10/1981,Camila Andrade,217900.00,12400.00,205500.00,Financiamento,Montadora,194560.18,Taos,Branco,2024,Taos Highline,26/09/2024,0 KM
CLI000741,Sofia Mendes Martins,27/01/1973,Diego Nogueira,102900.00,4250.00,98650.00,Financiamento,BV,85709.61,Polo,Branco,2024,Polo Comfortline,26/09/2024,0 KM
CLI000723,Sabrina Duarte Barros,18/01/1975,Bruno Almeida,95600.00,0.00,95600.00,Financiamento,Santander,79465.06,Saveiro,Prata,2024,Saveiro Sense,22/09/2024,Semi Novo
CLI000738,Sabrina Rezende,22/03/1978,Diego Nogueira,170000.00,7400.00,162600.00,Financiamento,Santander,143168.87,T-Cross,Azul,2024,T-Cross Highline,19/09/2024,0 KM
CLI000729,Gabriel Rodrigues,11/03/1973,Fernanda Ribeiro,271100.00,0.00,271.100,00,Financiamento,BV,286159.18,Amarok,Vermelho,2024,Amarok Sense,30/09/2024,0 KM
CLI000753,SÃ¡muel Oliveira,26/09/1984,Rafael Martins,271400.00,21950.00,249450.00,Financiamento,Santander,230302.65,Tiguan Allspace,Branco,2024,Tiguan Allspace Highline,21/09/2024,0 KM
