id_cliente,cliente,genero,idade,contato,fonte,produto_interesse,forma_pagamento,entrada_pct,fez_test_drive,data_interesse,etapa,motivo_insucesso,temperatura,data_ultimo_contato
CLI000014,Gabriela Santana,Feminino,48,(32) 98575-1105,Site,Saveiro,Financiamento,40,Não,2024-01-24,Sucesso,,Quente,2024-02-24
CLI000015,Daniel Oliveira,,45,(51) 94590-2513,Loja Física,Saveiro,Financiamento,20,Não,18/01/2024,Primeiro Contato,,Frio,21/01/2024
CLI000016,Marcos Nascimento,Masculino,46,(12) 93381-5835,Instagram,Saveiro,Financiamento,25,Não,05/01/2024,Primeiro Contato,,Frio,07/01/2024
CLI000017,João Moreira Nunes,Masculino,61,(62) 95141-8270,Google Ads,Tiguan Allspace,Financiamento,35,Não,2024-01-07,Primeiro Contato,,Frio,2024-01-07
CLI000237,Diego Gonçalves,Masculino,55,(51) 97180-9053,Facebook Ads,Saveiro,À Vista,,Sim,10/01/2024,Agendamento,,Frio,23/01/2024
CLI000019,Mariana Ramos Almeida,Feminino,33,(81) 95321-7039,Google Ads,T-Cross,Financiamento,30,Sim,21/01/2024,Sucesso,,Morno,09/02/2024
CLI000020,Paulo Souza,Masculino,51,(17) 98925-6818,Instagram,Nivus,Financiamento,20,Sim,11/01/2024,Primeiro Contato,,Frio,12/01/2024
CLI000021,Mateus Moreira,Masculino,50,(16) 91561-8590,Instagram,Polo,À Vista,,Sim,22/01/2024,Negociação,,Quente,06/02/2024
CLI000022,Laura Nascimento,Feminino,37,(51) 94593-6090,Instagram,T-Cross,Financiamento,25,Sim,20/01/2024,Insucesso,Comprou em Outra Concessionária,Morno,16/02/2024
CLI000023,Eduardo Lima,Masculino,54,(12) 99420-1690,Site,Virtus,Financiamento,20,Não,01/01/2024,Primeiro Contato,,Frio,03/01/2024
CLI000024,Larissa Ferreira Silva,Feminino,58,(85) 96151-8125,WhatsApp,Nivus,À Vista,,Sim,04/01/2024,Sucesso,,Quente,15/01/2024
CLI000025,Rafaela Rocha,Feminino,32,(19) 95743-9606,Site,Polo,Financiamento,10,Não,29/01/2024,interesse futuro,,Morno,06/03/2024
CLI000026,Júlia Araújo,Feminino,47,(11) 98A77-6655,Facebook Ads,Virtus,Financiamento,25,Sim,15/01/2024,Sucesso,,Quente,02/02/2024
CLI002196,Larissa Lima,Feminino,39,(71) 96918-1812,Loja Física,T-Cross,Financiamento,20,Não,15/01/2024,Primeiro Contato,,Morno,20/01/2024
CLI000028,Sofia Rezende,Feminino,,(51) 96836-1967,Facebook Ads,Polo,Financiamento,20,Sim,03/01/2024,Sucesso,,Quente,28/01/2024
CLI000029,Henrique Andrade,Masculino,15,(71) 99092-7633,WhatsApp,T-Cross,Financiamento,25,Não,08/01/2024,Insucesso,Crédito Negado,Morno,18/02/2024
CLI000030,Lucas Almeida Ramos,Masculino,51,(27) 99437-9071,Instagram,Nivus,Financiamento,30,Não,09/01/2024,Primeiro Contato,,Morno,16/01/2024
CLI000031,Luana Nunes,Feminino,68,(13) 92768-6361,Google Ads,Saveiro,Financiamento,25,Não,19/01/2024,Primeiro Contato,,Morno,24/01/2024
CLI000032,Rafaela Castro,Feminino,47,(17) 95199-2420,WhatsApp,Saveiro,Financiamento,10,Sim,25/01/2024,Agendamento,,Morno,27/01/2024
CLI000033,Rafael Nunes Andrade,Masculino,44,(11) 96468-4656,Indicação,T-Cross,À Vista,,Não,26/01/2024,Primeiro Contato,,Frio,30/01/2024
CLI000034,Thiago Carvalho,Masculino,52,(13) 93464-1265,Loja Física,Amarok,Financiamento,30,Não,01/01/2024,Primeiro Contato,,Frio,01/01/2024
CLI000035,Beatriz Freitas Barros,Feminino,27,(15) 92330-9941,Instagram,T-Cross,Financiamento,20,Não,01/01/2024,Agendamento,,Frio,15/01/2024
CLI000036,Felipe Araújo Barbosa,Masculino,42,(21) 96850-1644,Google Ads,T-Cross,À Vista,,Não,22/01/2024,Primeiro Contato,,Frio,27/01/2024
CLI000037,Bianca Andrade Nascimento,Feminino,62,(13) 96720-1648,Instagram,T-Cross,À Vista,,Sim,26/01/2024,Negociação,,Quente,05/02/2024
CLI000038,Caio Mendes Andrade,Masculino,64,(21) 95594-8918,WhatsApp,T-Cross,À Vista,,Sim,31/01/2024,Agendamento,,Quente,08/02/2024
CLI001304,Vinícius Costa,Masculino,37,(21) 95817-0253,Instagram,Nivus,Financiamento,20,Sim,17/03/2025,Sucesso,,Quente,10/04/2025
CLI000039,Camila Santos,Feminino,27,(51) 95506-8272,Instagram,Polo,À Vista,,Não,15/01/2024,Interesse Futuro,,Morno,10/02/2024
CLI000040,Ana Moreira,Feminino,40,(11) 92550-8773,WhatsApp,Polo,Financiamento,30,Sim,06/01/2024,Negociação,,Quente,15/01/2024
CLI000041,Lucas Rodrigues,Masculino,50,(31) 93778-4929,Loja Física,Virtus,Financiamento,20,Sim,04/01/2024,Sucesso,,Quente,01/02/2024
CLI000042,Rodrigo Teixeira,Masculino,64,(11) 98965-0450,Google Ads,Polo,À Vista,,Sim,10/01/2024,Sucesso,,Quente,22/12/2023
CLI000043,Caio Gonçalves Rezende,Masculino,38,(32) 98380-1680,Facebook Ads,Nivus,Financiamento,25,Sim,07/01/2024,Negociação,,Morno,27/01/2024
CLI000044,Fernanda Ramos Gonçalves,Feminino,26,(85) 99130-3124,Site,T-Cross,Financiamento,40,Não,16/01/2024,Agendamento,,Morno,20/01/2024
CLI000045,Eduardo Ferreira Teixeira,Masculino,33,(19) 93254-8075,WhatsApp,Nivus,Financiamento,30,Não,10/01/2024,Agendamento,,Morno,22/01/2024
CLI000046,Júlia Souza,Feminino,25,(16) 93102-1236,Google Ads,Taos,Financiamento,25,Sim,01/01/2024,Negociação,,Quente,07/01/2024
CLI000047,Bruna Santana,Feminino,31,(21) 91571-0950,Indicação,Amarok,Financiamento,20,Não,11/01/2024,Insucesso,Crédito Negado,Frio,26/01/2024
CLI000048,Carlos Lopes,Masculino,64,(24) 96417-7119,OLX,T-Cross,À Vista,,Não,07/01/2024,Primeiro Contato,,Morno,13/01/2024
CLI000049,Leonardo Freitas Ramos,Masculino,73,(19) 94339-6075,Facebook Ads,Saveiro,À Vista,,Sim,11/01/2024,Insucesso,Comprou no Particular,Frio,25/01/2024
CLI000050,Mateus Dias,Masculino,50,(24) 91385-9225,Instagram,Polo,Financiamento,10,Não,12/01/2024,Negociação,,Morno,22/01/2024
CLI000051,Gabriel Duarte Martins,Masculino,36,(16) 95685-9732,Instagram,T-Cross,Financiamento,35,Sim,30/01/2024,Sucesso,,Quente,14/02/2024
CLI000052,Caio Oliveira,Masculino,49,(32) 91930-4498,WhatsApp,Saveiro,Financiamento,25,Não,29/01/2024,Primeiro Contato,,Frio,03/02/2024
CLI000053,Diego Araújo,Masculino,49,(11) 98206-4490,Instagram,Virtus,Financiamento,50,Sim,19/01/2024,Agendamento,,Quente,20/01/2024
CLI000054,Henrique Rocha,Masculino,54,(41) 96841-2968,Instagram,Nivus,Financiamento,20,Não,31/01/2024,Primeiro Contato,,Morno,05/02/2024
CLI000055,Bruna Almeida,Feminino,63,(71) 99625-5347,Google Ads,Amarok,Financiamento,25,Sim,19/01/2024,Sucesso,,Quente,04/02/2024
CLI000056,Tatiane Lima,Feminino,37,(51) 92238-6000,WhatsApp,Polo,À Vista,,Sim,15/01/2024,Sucesso,,Morno,08/02/2024
CLI000057,Luana Silva Rodrigues,Feminino,71,(11) 93671-5168,Instagram,Virtus,Financiamento,25,Sim,17/01/2024,Agendamento,,Frio,19/01/2024
CLI000058,Gabriel Freitas,Masculino,39,(11) 97422-0499,Google Ads,Saveiro,À Vista,,Não,11/01/2024,Interesse Futuro,,Morno,14/04/2024
CLI000059,Vitória Batista,Feminino,35,(21) 99650-2846,WhatsApp,T-Cross,Financiamento,25,Sim,20/01/2024,Primeiro Contato,,Frio,21/01/2024
CLI000060,Vitória Ferreira Duarte,Feminino,36,(41) 99871-6523,Facebook Ads,Saveiro,Financiamento,40,Sim,05/01/2024,Insucesso,Financeiro,Frio,24/02/2024
CLI000061,Rafaela Oliveira Lopes,Feminino,48,(32) 98705-5510,Google Ads,Taos,Financiamento,25,Não,13/01/2024,Agendamento,,Frio,15/01/2024
CLI000062,Júlia Moreira,Feminino,22,(81) 95628-3414,Loja Física,Polo,Financiamento,40,Sim,21/01/2024,Sucesso,,Quente,19/02/2024
CLI000063,Henrique Silva,Masculino,41,(85) 96567-6989,Instagram,Saveiro,À Vista,,Sim,20/02/2024,Agendamento,,Morno,27/02/2024
CLI000064,André Barros Oliveira,Masculino,33,(81) 98373-0593,Loja Física,Amarok,Financiamento,25,Sim,13/02/2024,Agendamento,,Morno,25/02/2024
CLI000065,Sabrina Santana Pereira,Feminino,44,(31) 94551-9063,Site,Tiguan Allspace,Financiamento,20,Não,2024-02-24,Primeiro Contato,,Frio,2024-02-27
CLI000066,Rodrigo Castro Nascimento,Masculino,38,(31) 92260-8754,whatsapp,Polo,Financiamento,25,Não,09/02/2024,Primeiro Contato,,Quente,16/02/2024
CLI000067,Marcos Monteiro,Masculino,40,(71) 93333-6238,Loja Física,Polo,Financiamento,20,Não,12/02/2024,Agendamento,,Quente,15/02/2024
CLI000068,Rafael Monteiro,Masculino,46,(51) 99053-9437,WhatsApp,Saveiro,Financiamento,25,Não,10/02/2024,Interesse Futuro,,Morno,06/04/2024
CLI000069,Samuel Nunes,Masculino,58,(61) 92275-3669,WhatsApp,Virtus,Financiamento,25,Não,19/02/2024,Agendamento,,Quente,05/03/2024
CLI000070,Laura Castro Alves,Feminino,38,(85) 91699-3731,Site,Virtus,Financiamento,20,Não,13/02/2024,Insucesso,Financeiro,Frio,08/04/2024
CLI000071,Laura Santana,Feminino,32,(11) 97756-8126, Loja Física  ,Polo,Financiamento,40,Não,03/02/2024,Insucesso,Financeiro,Frio,22/02/2024
CLI000072,Tatiane Souza,Feminino,51,(11) 94102-4682,OLX,Taos,Financiamento,15,Não,18/02/2024,Interesse Futuro,,Morno,17/06/2024
CLI000073,Vitória Rocha,Feminino,30,(16) 93556-0798,Indicação,T-Cross,Financiamento,20,Sim,25/02/2024,Sucesso,,Quente,16/03/2024
CLI000074,Diego Rodrigues,Masculino,28,(62) 94501-2988,WhatsApp,Polo,À Vista,,Não,16/02/2024,Primeiro Contato,,Frio,16/02/2024
CLI000075,Júlia Silva Andrade,Feminino,58,(31) 91209-3582,Facebook Ads,Polo,À Vista,,Não,09/02/2024,Insucesso,Produto Indisponível,Frio,23/03/2024
CLI000076,Vanessa Gomes,Feminino,49,(71) 99239-2972,WhatsApp,Virtus,Financiamento,35,sim,19/02/2024,Sucesso,,Quente,25/02/2024
CLI000077,Luana Oliveira,Feminino,27,(71) 95114-4804,Site,Polo,Financiamento,25,Não,16/02/2024,Primeiro Contato,,Quente,08/02/2024
CLI000078,João Ferreira,Masculino,46,(85) 96051-9813,Google Ads,Virtus,À Vista,,Não,19/02/2024,Primeiro Contato,,Morno,20/02/2024
CLI000079,Isabela Silva Teixeira,Feminino,30,(15) 97449-8592,Instagram,T-Cross,Financiamento,25,Não,13/02/2024,Interesse Futuro,,Morno,03/03/2024
CLI000080,Caio Gomes Rezende,Masculino,27,(27) 99616-1373,Facebook Ads,T-Cross,Financiamento,10,Não,14/02/2024,Primeiro Contato,,Frio,17/02/2024
CLI000081,Clara Lima,Feminino,67,(11) 91610-5221,Site,T-Cross,Financiamento,40,Não,18/02/2024,Insucesso,Financeiro,Frio,09/04/2024
CLI000082,Eduardo Mendes Alves,Masculino,49,(41) 93827-5772,Indicação,Taos,Financiamento,40,Sim,11/02/2024,Sucesso,,Quente,19/03/2024
CLI000083,Mariana Teixeira,Feminino,47,(21) 93620-2693,Site,Saveiro,Financiamento,20,Sim,01/02/2024,Negociação,,Morno,26/02/2024
CLI000084,Rodrigo Lopes,Masculino,63,(17) 94841-5500,Instagram,Nivus,Financiamento,20,Sim,16/02/2024,Sucesso,,Quente,19/02/2024
CLI000085,Samuel Andrade,Masculino,22,(21) 91888-8705,Site,Polo,Financiamento,25,Não,09/02/2024,Negociação,,Morno,17/02/2024
CLI000086,Eduardo Lopes,Masculino,40,(11) 94545-9258,Instagram,Polo,Financiamento,30,Sim,22/02/2024,Insucesso,Comprou em Outra Concessionária,Morno,09/03/2024
CLI000087,Renan Andrade Batista,Masculino,35,(15) 95937-4431,Facebook Ads,Polo,À Vista,,Sim,09/02/2024,Negociação,,Quente,09/03/2024
CLI000088,Caio Rezende,Masculino,68,(16) 97964-7520,Indicação,Virtus,Financiamento,40,Não,18/02/2024,Primeiro Contato,,Quente,23/02/2024
CLI000089,Marcelo Almeida Araújo,Masculino,34,1198877-66,Google Ads,T-Cross,Financiamento,20,Sim,11/02/2024,Negociação,,Quente,27/02/2024
CLI000090,Marcelo Andrade Moraes,Masculino,28,(11) 98486-1961,Site,Taos,Financiamento,35,Não,17/02/2024,Sucesso,,Quente,12/03/2024
CLI000091,Larissa Carvalho Martins,Feminino,47,(11) 93610-5444,Site,Nivus,Financiamento,25,Sim,24/02/2024,Negociação,,Quente,01/03/2024
CLI000092,Murilo Ramos,Masculino,29,(16) 99736-3024,Indicação,Virtus,Financiamento,30,Não,01/02/2024,Agendamento,,Morno,15/02/2024
CLI000093,Eduarda Moreira,Feminino,49,(41) 93573-5139,Loja Física,Virtus,Financiamento,20,Sim,06/02/2024,Negociação,,Morno,27/02/2024
CLI000094,André Rezende Cardoso,Masculino,48,(41) 97830-2865,Facebook Ads,Nivus,Financiamento,50,Sim,08/02/2024,Negociação,,Quente,15/02/2024
CLI000095,Bruno Andrade,Masculino,32,(62) 94274-0982,Instagram,Amarok,À Vista,,Não,06/02/2024,Agendamento,,Morno,19/02/2024
CLI000096,Paulo Duarte Castro,Masculino,48,(17) 91845-0066,facebook ads,Polo,Financiamento,20,Não,28/02/2024,Insucesso,Comprou no Particular,Morno,27/03/2024
CLI000097,Júlia Rezende,Feminino,45,(17) 91661-4025,Site,T-Cross,À Vista,,Não,20/02/2024,Interesse Futuro,,Frio,16/04/2024
CLI000098,Sabrina Ferreira,Feminino,36,(31) 92983-5471,Google Ads,Nivus,Financiamento,25,Não,05/02/2024,Primeiro Contato,,Frio,08/02/2024
CLI000099,Marcos Alves,Masculino,21,(21) 93664-2259,WhatsApp,Nivus,À Vista,,Não,08/02/2024,Insucesso,Comprou no Particular,Frio,01/03/2024
CLI000100,Daniela Nunes,Feminino,59,(62) 93690-5542,Instagram,Polo,Financiamento,10,Não,16/02/2024,Negociação,,Quente,11/03/2024
CLI000101,Carolina Almeida,Feminino,54,(31) 96208-1280,Google Ads,Polo,À Vista,,Não,18/02/2024,Sucesso,,Morno,29/03/2024
CLI000102,Renan Mendes,Masculino,45,(27) 97324-1590,Google Ads,Saveiro,À Vista,,Sim,2024-02-11,Sucesso,,Quente,17/03/2024
CLI000103,Bruno Moreira,Masculino,32,(61) 94153-3292,Facebook Ads,Polo,À Vista,,Não,02/22/2024,Sucesso,,Quente,03/05/2024
CLI000104,Vanessa Nunes Andrade,Feminino,56,(48) 92889-2634,Site,T-Cross,À Vista,,Sim,22/02/2024,Agendamento,,Quente,28/02/2024
CLI000105,Marcelo Nascimento,Masculino,63,(48) 99514-4091,Instagram,Nivus,Financiamento,20,Sim,24/02/2024,Interesse Futuro,,Frio,08/05/2024
CLI000106,Vitória Oliveira Barros,Feminino,39,(21) 93481-4616,WHATSAPP,Polo,À Vista,,Sim,15/02/2024,Agendamento,,Morno,01/03/2024
CLI000107,Rodrigo Gomes,Masculino,40,(47) 98931-6535,Indicação,Amarok,Financiamento,15,Não,13/02/2024,Primeiro Contato,,Morno,13/02/2024
CLI000108,Mariana Oliveira,Feminino,32,(12) 91985-9150,WhatsApp,Polo,Financiamento,10,Sim,15/02/2024,Sucesso,,Quente,26/03/2024
CLI000109,Gustavo Monteiro,Masculino,17,(31) 96455-8473,Instagram,Polo,Financiamento,35,Não,09/02/2024,Primeiro Contato,,Frio,15/02/2024
CLI000110,Natália Nunes,Feminino,32,(61) 95754-0897,Site,Amarok,Financiamento,35,Não,06/02/2024,Primeiro Contato,,Frio,07/02/2024
CLI000111,Vitor Batista Gonçalves,Masculino,32,(11) 97347-3170,Instagram,T-Cross,Financiamento,25,Não,08/02/2024,Interesse Futuro,,Morno,11/05/2024
CLI000112,Helena Nascimento,Feminino,46,(12) 97391-5718,WhatsApp,Nivus,À Vista,,Não,13/02/2024,Primeiro Contato,,Quente,16/02/2024
CLI000113,Lucas Lima,Masculino,30,(51) 99156-2546,Instagram,Polo,Financiamento,25,Não,03/02/2024,Agendamento,,Quente,30/01/2024
CLI000114,Sofia Ferreira Cardoso,Feminino,53,(41) 99658-3321,Instagram,Saveiro,À Vista,,Sim,20/02/2024,Agendamento,,Morno,21/02/2024
CLI000115,Guilherme Oliveira Silva,,39,(71) 93724-7085,Facebook Ads,Taos,À Vista,,Não,20/02/2024,Primeiro Contato,,Quente,22/02/2024
CLI000116,Tatiane Dias,Feminino,37,(31) 99957-5124,Loja Física,Taos,Financiamento,15,Não,14/02/2024,Negociação,,Quente,11/03/2024
CLI000117,Henrique Martins,Masculino,38,(61) 95797-4895,WhatsApp,Virtus,Financiamento,20,Sim,01/02/2024,Negociação,,Quente,26/02/2024
CLI000118,Samuel Teixeira,Masculino,33,1198877-66,Google Ads,Polo,Financiamento,25,Não,25/02/2024,Primeiro Contato,,Quente,29/02/2024
CLI000119,Tatiane Andrade,Feminino,42,(85) 98510-0034,Instagram,Polo,Financiamento,35,Não,27/02/2024,Primeiro Contato,,Quente,05/03/2024
CLI000120,André Rezende,Masculino,38,(61) 95473-5288,Instagram,Nivus,Financiamento,,Não,21/02/2024,Agendamento,,Frio,27/02/2024
CLI000121,Bruna Costa,Feminino,29,(12) 94681-8475,WhatsApp,Amarok,Financiamento,25,Sim,28/02/2024,Sucesso,,Quente,29/03/2024
CLI000122,Guilherme Alves,Masculino,63,(47) 94899-9759,Site,T-Cross,Financiamento,20,Não,10/02/2024,Primeiro Contato,,Morno,12/02/2024
CLI000123,Bruna Barbosa Soares,Feminino,54,(31) 95901-2684, Site  ,Saveiro,Financiamento,50,Sim,23/02/2024,Agendamento,,Morno,09/03/2024
CLI000124,Gabriela Andrade,Feminino,26,(32) 94421-4532,Site,Tiguan Allspace,Financiamento,20,Sim,25/02/2024,Insucesso,Comprou no Particular,Quente,03/03/2024
CLI000125,Renan Santana,Masculino,46,(27) 91778-5904,Instagram,T-Cross,Financiamento,20,Sim,13/02/2024,Negociação,,Quente,12/03/2024
CLI000126,Rafael Rodrigues Melo,Masculino,46,(11) 99991-8730,Google Ads,Nivus,Financiamento,25,Não,23/02/2024,Primeiro Contato,,Morno,01/03/2024
CLI000127,Rafael Ribeiro,Masculino,53,(51) 91624-7390,Facebook Ads,Saveiro,À Vista,,Sim,07/02/2024,Sucesso,,Quente,04/03/2024
CLI000128,Rafaela Barbosa,Feminino,20,(11) 96500-8134,Indicação,Virtus,Financiamento,30,Sim,2024-02-01,Sucesso,,Morno,15/03/2024
CLI000129,Gabriel Nascimento,Masculino,25,(19) 99426-5770,Loja Física,Nivus,Financiamento,35,Sim,09/02/2024,Primeiro Contato,,Frio,16/02/2024
CLI000130,Caio Melo Ramos,masculino,31,(15) 93383-6707,Google Ads,Polo,Financiamento,15,Não,09/02/2024,Interesse Futuro,,Quente,26/03/2024
CLI000131,Beatriz Pereira,Feminino,103,(62) 95133-8380,Instagram,Polo,Financiamento,25,Não,11/02/2024,Negociação,,Quente,06/03/2024
CLI000132,Marcelo Castro Andrade,Masculino,30,(11) 98A77-6655,Instagram,Saveiro,Financiamento,30,Sim,07/02/2024,Sucesso,,Morno,19/02/2024
CLI000133,Vitor Melo,Masculino,46,(51) 98530-4480,Instagram,T-Cross,Financiamento,10,Não,12/02/2024,Negociação,,Morno,16/02/2024
CLI000134,Beatriz Ribeiro,Feminino,43,(13) 99691-6243,OLX,Virtus,Financiamento,25,Não,21/02/2024,Insucesso,Comprou no Particular,Morno,10/04/2024
CLI000135,Rodrigo Soares,Masculino,59,(51) 92262-7296,Site,Amarok,Financiamento,30,Sim,12/02/2024,Sucesso,,Quente,08/03/2024
CLI000136,Henrique Almeida,Masculino,45,(32) 92487-3578,WhatsApp,Virtus,Financiamento,25,Não,25/02/2024,Primeiro Contato,,Frio,01/03/2024
CLI000137,Vitória Nascimento,Feminino,37,(12) 94904-4479,Instagram,T-Cross,Financiamento,25,Sim,02/09/2024,Primeiro Contato,,Frio,09/02/2024
CLI000138,Leonardo Martins,Masculino,31,(12) 92167-0894,Google Ads,T-Cross,Financiamento,20,Não,17/02/2024,Negociação,,Quente,06/03/2024
CLI000139,Renata Barbosa Soares,Feminino,31,(32) 96186-9954,WhatsApp,Nivus,Financiamento,10,Sim,12/02/2024,Insucesso,Comprou no Particular,Frio,08/03/2024
CLI000140,Sabrina Alves Batista,Feminino,37,(47) 94064-7696,Google Ads,Nivus,Financiamento,25,Sim,29/02/2024,Insucesso,Produto Indisponível,Morno,17/04/2024
CLI000141,Júlia Santana,Feminino,44,(61) 91054-1786,Site,Nivus,Financiamento,10,Não,27/02/2024,Agendamento,,Morno,04/03/2024
CLI000142,Lucas Alves Castro,Masculino,28,(15) 94976-3904,Loja Física,Nivus,Financiamento,15,Não,19/03/2024,Sucesso,,Quente,30/04/2024
CLI000143,Ricardo Almeida,Masculino,60,(21) 91440-1949,WhatsApp,Amarok,Financiamento,30,Não,17/03/2024,Negociação,,Quente,02/04/2024
CLI000144,Natália Gomes,Feminino,30,(17) 92385-1381,Instagram,Amarok,À Vista,,Não,04/03/2024,Insucesso,Produto Indisponível,Frio,11/03/2024
CLI000145,Eduardo Rezende,Masculino,63,(47) 97535-7373,WhatsApp,Tiguan Allspace,Financiamento,30,Não,27/03/2024,Agendamento,,Frio,29/03/2024
CLI000146,Laura Barros Santos,Feminino,38,(11) 97191-4587,olx,Polo,Financiamento,35,Não,22/03/2024,Agendamento,,Quente,04/04/2024
CLI000147,Sofia Costa,Feminino,64,(11) 95873-5788,Instagram,Saveiro,Financiamento,20,Não,08/03/2024,NEGOCIAÇÃO ,,Morno,20/03/2024
CLI000148,Caio Mendes Oliveira,Masculino,54,(24) 96676-2293,Google Ads,Virtus,À Vista,,Não,13/03/2024,Primeiro Contato,,Frio,14/03/2024
CLI000149,Murilo Rezende,Masculino,62,(15) 91812-2333,Instagram,T-Cross,Financiamento,35,Não,10/03/2024,Primeiro Contato,,Frio,14/03/2024
CLI000150,  Clara Ramos Melo ,Feminino,27,(21) 99919-2089,Google Ads,T-Cross,Financiamento,15,Sim,19/03/2024,Interesse Futuro,,Frio,11/06/2024
CLI000151,Felipe Teixeira,Masculino,70,(71) 97043-9870,Instagram,Virtus,À Vista,,Não,26/03/2024,Agendamento,,Quente,04/04/2024
CLI000152,Eduardo Dias,Masculino,45,(27) 95698-7438,Google Ads,Nivus,Financiamento,10,Não,28/03/2024,Insucesso,Contato Sem Sucesso,Morno,05/05/2024
CLI000153,Eduardo Batista,Masculino,19,(21) 98663-8175,Google Ads,T-Cross,Financiamento,20,Sim,06/03/2024,Negociação,,Quente,30/03/2024
CLI000154,Helena Costa,Feminino,37,(24) 93188-5339,GOOGLE ADS,Nivus,Financiamento,30,Sim,09/03/2024,Sucesso,,Morno,03/04/2024
CLI000155,João Lopes,Fem,38,(19) 91045-5879,Loja Física,Virtus,Financiamento,25,Não,04/03/2024,Insucesso,Comprou no Particular,Morno,10/03/2024
CLI000156,Júlia Rezende,Feminino,15,(81) 92659-6102,WhatsApp,T-Cross,Financiamento,20,Não,21/03/2024,Interesse Futuro,,Morno,10/07/2024
CLI000157,Felipe Nascimento,Masculino,68,(17) 94821-1418,WhatsApp,Polo,Financiamento,35,Não,29/03/2024,Primeiro Contato,,Frio,03/04/2024
CLI000158,Daniela Araújo,Feminino,37,(21) 94287-9145,OLX,Polo,À Vista,,Não,05/03/2024,Primeiro Contato,,Frio,10/03/2024
CLI000159,Lucas Nunes,Masculino,61,(27) 94999-5241,Site,T-Cross,À Vista,,Não,25/03/2024,Insucesso,Comprou em Outra Concessionária,Frio,30/03/2024
CLI000160,Renan Moreira,Masculino,16,(51) 99919-8071,Instagram,Amarok,Financiamento,20,Não,15/03/2024,Negociação,,Morno,01/04/2024
CLI000161,Samuel Gonçalves Moraes,Masculino,53,(12) 96530-0531,WhatsApp,Polo,Financiamento,20,Não,04/03/2024,Primeiro Contato,,Frio,10/03/2024
CLI000162,Natália Moreira Ramos,Feminino,47,(47) 97014-0549,WhatsApp,Nivus,Financiamento,20,Não,14/03/2024,Primeiro Contato,,Frio,16/03/2024
CLI000163,Bianca Nascimento,Feminino,39,(13) 99159-1259,Indicação,Tiguan Allspace,Financiamento,25,Sim,24/03/2024,Sucesso,,Quente,28/03/2024
CLI000164,Felipe Dias Carvalho,Masculino,61,(81) 99407-0694,WhatsApp,T-Cross,Financiamento,15,Não,23/03/2024,Primeiro Contato,,Morno,25/03/2024
CLI000165,Carlos Souza,Masculino,35,9988-7766,Google Ads,Saveiro,À Vista,,Sim,09/03/2024,Sucesso,,Quente,13/04/2024
CLI000166,Bruna Cardoso,Feminino,49,(19) 91136-6717,Google Ads,Virtus,Financiamento,40,Sim,23/03/2024,Agendamento,Comprou em Outra Concessionária,Morno,30/03/2024
CLI000167,Sofia Ramos Duarte,Feminino,58,(62) 95751-7040,Google Ads,Nivus,Financiamento,,Sim,03/03/2024,Agendamento,,Frio,04/03/2024
